feature_name,train-label=ALL,train-label=0,train-label=1,pvalue,test-label=ALL,test-label=0,test-label=1,pvalue
age,40.68±6.74,42.10±6.41,38.92±6.76,<0.001,43.31±8.14,45.65±5.97,40.55±9.55,0.0030496995680759083
nipple_discharge,0.07±0.26,0.10±0.29,0.05±0.21,0.15395083119802255,0.02±0.14,0.00±0.00,0.05±0.21,0.2958831768100486
long,2.53±1.26,2.13±1.18,3.03±1.20,<0.001,2.62±1.73,2.60±2.06,2.64±1.29,0.32519393564969856
short,1.40±0.71,1.28±0.65,1.56±0.75,0.004369383519079445,1.55±0.95,1.62±1.06,1.46±0.82,0.958624367644808
Inflammatory_indicators,,,,0.6761406075504846,,,,0.8810869002194571
0,176(93.12),99(94.29),77(91.67),,45(93.75),25(96.15),20(90.91),
1,13(6.88),6(5.71),7(8.33),,3(6.25),1(3.85),2(9.09),
breast_pain,,,,0.39312929742714164,,,,0.27356141172474585
0,168(88.89),91(86.67),77(91.67),,42(87.50),21(80.77),21(95.45),
1,21(11.11),14(13.33),7(8.33),,6(12.50),5(19.23),1(4.55),
skin_lesions,,,,1.0,,,,0.17819815686681476
0,176(93.12),98(93.33),78(92.86),,45(93.75),26(100.00),19(86.36),
1,13(6.88),7(6.67),6(7.14),,3(6.25),null,3(13.64),
margin,,,,0.39353166194610056,,,,0.6044136264042159
1,145(76.72),81(77.14),64(76.19),,36(75.00),18(69.23),18(81.82),
2,14(7.41),5(4.76),9(10.71),,3(6.25),2(7.69),1(4.55),
3,27(14.29),17(16.19),10(11.90),,9(18.75),6(23.08),3(13.64),
4,3(1.59),2(1.90),1(1.19),,0(0.00),null,null,
angular,,,,0.14220165234290447,,,,0.09215254495026104
0,166(87.83),96(91.43),70(83.33),,40(83.33),19(73.08),21(95.45),
1,23(12.17),9(8.57),14(16.67),,8(16.67),7(26.92),1(4.55),
echogenic_foci,,,,0.7496827026124165,,,,1.0
0,71(37.57),41(39.05),30(35.71),,24(50.00),13(50.00),11(50.00),
1,118(62.43),64(60.95),54(64.29),,24(50.00),13(50.00),11(50.00),
Blood_flow,,,,0.5118644933791283,,,,0.700624584422977
0,2(1.06),1(0.95),1(1.19),,1(2.08),null,1(4.55),
1,117(61.90),70(66.67),47(55.95),,30(62.50),16(61.54),14(63.64),
2,24(12.70),12(11.43),12(14.29),,8(16.67),5(19.23),3(13.64),
3,46(24.34),22(20.95),24(28.57),,9(18.75),5(19.23),4(18.18),
